#          STEP          TOTAL        KINETIC      POTENTIAL           HARM          MORSE          ANGLE       DIHEDRAL        NLMORSE
         122000       -180.939        197.712       -378.651         68.105       -314.235        95.1407        26.9768       -254.638
         123000       -234.119        162.308       -396.427        50.3297       -315.735        98.8114        27.3188       -257.152
         124000       -216.719        165.694       -382.413        54.7072       -312.728        97.5041        33.4807       -255.377
         125000       -183.228        165.175       -348.403        80.5702       -309.595        91.7319        32.3278       -243.438
         126000       -182.188        176.723       -358.912        64.7198       -304.236        93.0264        36.9192        -249.34
         127000       -219.594        160.228       -379.822        61.4945       -317.664        99.2634        29.8884       -252.804
         128000       -184.476        187.623       -372.099        63.2801       -315.725        96.7106        35.2818       -251.647
         129000       -192.126        178.282       -370.408        63.1593       -313.459        98.3662        28.7472       -247.221
         130000       -189.643        178.732       -368.374        69.1728       -312.239        102.737        26.9242       -254.969
         131000       -194.477        176.186       -370.663        66.7325       -317.755        100.905        32.5309       -253.076
         132000       -213.921        161.402       -375.322        64.5409       -317.536        95.8153        30.8153       -248.957
         133000       -199.419          174.1        -373.52        67.4987       -318.546        104.185        30.6615       -257.319
         134000       -203.259         166.08       -369.339        71.9471        -313.67        92.2932        32.6449       -252.555
         135000       -208.337         175.27       -383.607        59.2714       -319.904        105.629        25.7986       -254.401
         136000       -203.164        165.013       -368.177        60.0734       -308.483        95.6846        26.6682        -242.12
         137000       -185.508        179.629       -365.137        61.7673       -312.655        106.889        31.1359       -252.274
         138000       -190.847        174.495       -365.342        76.6779       -316.519        98.5441        25.2556       -249.301
         139000       -239.439        157.931        -397.37        54.1881       -314.608        100.131        25.5051       -262.586
         140000       -199.101        171.632       -370.732        73.6445       -310.671        98.8667        26.8247       -259.397
         141000       -201.283        171.251       -372.534        60.2595       -312.764        99.3805        32.1661       -251.576
         142000       -174.618        178.778       -353.395        65.9294       -302.495        109.844        26.3939       -253.068
         143000       -184.655        177.589       -362.244        71.2451       -307.863        98.6215         26.556       -250.803
         144000       -196.515        170.391       -366.907        71.1711       -314.343        99.5046        30.2171       -253.457
         145000       -185.352        177.621       -362.972        58.6826        -308.11        92.7076        37.3834       -243.636
         146000       -209.881        172.426       -382.307        53.6237       -309.757        92.4452         32.252        -250.87
         147000       -203.365        166.858       -370.223        62.0199       -309.719        100.741        27.6976       -250.962
         148000       -192.331        175.599       -367.929        71.1802       -315.644        99.1982        30.6418       -253.306
         149000       -207.151        171.071       -378.223        59.4789       -312.932         100.98         25.267       -251.017
         150000       -220.911        166.402       -387.314        57.8272        -317.06        93.8667        28.3163       -250.263
         151000       -190.019        176.521        -366.54        75.9949       -318.978         103.08        28.9007       -255.538
         152000       -194.681        172.925       -367.606        73.7248       -313.652        97.7202        26.7405        -252.14
         153000       -197.068        175.503       -372.571        66.4068       -313.967        98.7223        34.2095       -257.943
         154000       -199.952        177.234       -377.185        66.6716        -320.75        91.1201         26.427       -240.654
         155000       -210.143        181.746       -391.889        56.3688       -317.573        98.9403        24.2302       -253.856
         156000       -225.797        175.563        -401.36        57.9521        -324.61        99.1305        21.0051       -254.838
         157000       -205.152        170.211       -375.363        60.4121       -314.438        99.9872        28.0513       -249.376
         158000       -195.231        176.842       -372.073         63.338        -312.78        94.8245        36.1726       -253.628
         159000       -155.103        184.735       -339.838        75.3197       -313.481         103.28        35.8903       -240.847
         160000       -205.018        168.614       -373.632        59.9977        -308.53        95.1626        30.1701       -250.432
         161000       -184.076        184.698       -368.774        72.6465       -314.519        99.7334        26.0101       -252.645
         162000       -213.696        165.756       -379.451        59.4022       -312.892        94.9661        27.9048       -248.833
         163000       -182.125        176.977       -359.102        69.8657       -313.001        96.3178        35.2801       -247.564
         164000       -200.454        174.224       -374.678        62.9146        -312.88        97.8934        30.1079       -252.714
         165000       -208.194        167.327       -375.521        57.9171       -314.006        97.4496         29.526       -246.407
         166000       -192.074        170.248       -362.322        66.9455       -314.093         98.519        32.1326       -245.827
         167000       -196.381         183.87        -380.25        55.1649       -312.266        100.135        23.2876       -246.572
         168000       -203.773        167.279       -371.052        64.9846       -316.182        100.473        30.9215       -251.249
         169000        -197.75        173.062       -370.812        64.3621       -312.471        94.4263        23.6409        -240.77
         170000       -174.946        170.687       -345.632        70.6516         -306.5         102.27        31.3883       -243.442
         171000       -191.774        180.257       -372.031        67.0513       -310.145        97.3834        27.4363       -253.757
         172000       -182.859        180.207       -363.067        75.8203        -316.06        98.5932        30.1673       -251.588
         173000       -236.922        146.564       -383.486        53.4526       -310.196        95.0811        29.8205       -251.644
         174000       -213.744        165.292       -379.035         65.075        -318.17         98.901        27.0555       -251.897
         175000       -196.924         169.89       -366.813        68.5571        -311.73        92.3605        27.5527       -243.553
         176000       -161.554        185.928       -347.482        72.4045       -309.871        97.7285        29.8722       -237.617
         177000       -170.701         193.66       -364.361        68.5967       -313.051        100.603        32.9963       -253.506
         178000       -241.015        151.619       -392.633        52.6405       -310.001        93.9631        27.4721       -256.708
         179000       -188.452        175.798        -364.25        61.2314       -300.912        100.819        25.4449       -250.833
         180000       -226.677         146.16       -372.837        59.0159       -307.904        95.6873        27.7345       -247.371
         181000       -204.292        168.964       -373.256        52.7117       -310.313        100.928        35.8226       -252.406
         182000       -225.031        166.131       -391.161        53.0898       -314.912        97.1127        26.5327       -252.984
